"filename";"alias"
"/data/case-studies/extra-instructions-of-young-superintendents-in-a-swimming-pool/Extra instructions of young superintendents in a swimming pool.pdf";"/data/case-studies/extra-instructions-of-young-superintendents-in-a-swimming-pool/Extra-instructions-of-young-superintendents-in-a.pdf"
"/data/case-studies/health-in-the-workplace-innovation-in-relationships-atm/Health in the Workplace -  ATM.pdf";"/data/case-studies/health-in-the-workplace-innovation-in-relationships-atm/Health-in-the-Workplace-ATM.pdf"
"/data/case-studies/label-friendly-workspace/ZVD IFA Friendly Work Space final.pdf";"/data/case-studies/label-friendly-workspace/ZVD-IFA-Friendly-Work-Space-final.pdf"
"/data/case-studies/assessment-of-the-vocational-risk-of-natural-mining-environment/Assessmentof the vocationaltrainingPL-42.pdf";"/data/case-studies/assessment-of-the-vocational-risk-of-natural-mining-environment/Assessmentof-the-vocationaltrainingPL-42.pdf"
"/data/case-studies/the-work-well-programme-at-knock-travel/Work Well Programme at Knock Travel.pdf";"/data/case-studies/the-work-well-programme-at-knock-travel/Work-Well-Programme-at-Knock-Travel.pdf"
"/data/case-studies/mars-wellness-programme/Mars Wellness Programme.pdf";"/data/case-studies/mars-wellness-programme/Mars-Wellness-Programme.pdf"
"/data/case-studies/equal-opportunities-for-all-employees/Magyar Telekom.pdf";"/data/case-studies/equal-opportunities-for-all-employees/Magyar-Telekom.pdf"
"/data/case-studies/from-project-to-well-being-policy/Procter & Gamble.pdf";"/data/case-studies/from-project-to-well-being-policy/Procter-Gamble.pdf"
"/data/case-studies/work-family-balance-and-employees-participation-programme/Work-Life Balance at Oriflame.pdf";"/data/case-studies/work-family-balance-and-employees-participation-programme/Work-Life-Balance-at-Oriflame.pdf"
"/data/case-studies/dundee-city-council-an-integrated-staff-support-service/Dundee City Council.pdf";"/data/case-studies/dundee-city-council-an-integrated-staff-support-service/Dundee-City-Council.pdf"
"/data/case-studies/hedensted-kommune-municipality-of-hedensted/Healthy Municipality of Hedensted.pdf";"/data/case-studies/hedensted-kommune-municipality-of-hedensted/Healthy-Municipality-of-Hedensted.pdf"
"/data/case-studies/creativ-company/Creativ Company.pdf";"/data/case-studies/creativ-company/Creativ-Company.pdf"
"/data/case-studies/healthy-fiscal-authority-2013-mental-health-promotion-in-tax-authorities-in-north-rhine-westphalia/Healthy Fiscal Authority.pdf";"/data/case-studies/healthy-fiscal-authority-2013-mental-health-promotion-in-tax-authorities-in-north-rhine-westphalia/Healthy-Fiscal-Authority.pdf"
"/data/case-studies/viva-at-pro-mente-health-management/Viva at Pro Mente - Health Management.pdf";"/data/case-studies/viva-at-pro-mente-health-management/Viva-at-Pro-Mente-Health-Management.pdf"
"/data/case-studies/improving-the-way-a-trade-union-deals-with-health-and-safety-questions-such-as-msd/Trade union dealing with health and safety questions such as msds.pdf";"/data/case-studies/improving-the-way-a-trade-union-deals-with-health-and-safety-questions-such-as-msd/Trade-union-dealing-with-health-and-safety.pdf"
"/data/case-studies/reduction-of-repetitive-work-at-coloplast/018 Reduction of repetitive work at Coloplast.pdf";"/data/case-studies/reduction-of-repetitive-work-at-coloplast/018-Reduction-of-repetitive-work-at-Coloplast.pdf"
"/data/case-studies/communication-e-network-developing-ergonomics-of-manual-handling-of-patients/014 Communication e-network developing ergonomics of patient handling.pdf";"/data/case-studies/communication-e-network-developing-ergonomics-of-manual-handling-of-patients/014-Communication-e-network-developing-ergonomics.pdf"
"/data/case-studies/risk-analysis-and-prevention-on-a-motor-car-assembly-line/23_06_2010 Czeck case.pdf";"/data/case-studies/risk-analysis-and-prevention-on-a-motor-car-assembly-line/23_06_2010-Czeck-case.pdf"
"/data/case-studies/targeted-workplace-assessment-using-electronic-forms/Mental Health-DK.pdf";"/data/case-studies/targeted-workplace-assessment-using-electronic-forms/Mental-Health-DK.pdf"
"/data/case-studies/comprehensive-risk-analysis-and-prevention-at-rio-tinto-minerals/Rio Tinto Minerals-AU.pdf";"/data/case-studies/comprehensive-risk-analysis-and-prevention-at-rio-tinto-minerals/Rio-Tinto-Minerals-AU.pdf"
"/data/case-studies/the-global-vae-hse-guidebook-software-for-systematic-risk-assessment/VAE GmbH-AU.pdf";"/data/case-studies/the-global-vae-hse-guidebook-software-for-systematic-risk-assessment/VAE-GmbH-AU.pdf"
"/data/case-studies/preventing-manual-handling-of-residents-in-a-care-home.1/008 Preventing manual handling of residents in a care home.pdf";"/data/case-studies/preventing-manual-handling-of-residents-in-a-care-home.1/008-Preventing-manual-handling-of-residents-in-a.pdf"
"/data/case-studies/a-comprehensive-lifting-policy-for-the-prevention-of-back-complaints-among-home-helpers/021 Lifitng policy for prevention of back complaints among home helpers.pdf";"/data/case-studies/a-comprehensive-lifting-policy-for-the-prevention-of-back-complaints-among-home-helpers/021-Lifitng-policy-for-prevention-of-back.pdf"
"/data/case-studies/innovative-work-organisation-for-moving-supplies/022 Innovative work organisation for moving supplies.pdf";"/data/case-studies/innovative-work-organisation-for-moving-supplies/022-Innovative-work-organisation-for-moving.pdf"
"/data/case-studies/use-of-participatory-ergonomics-to-identify-and-solve-high-risk-tasks/019 Participatory ergonomics to identify and solve high risk taks.pdf";"/data/case-studies/use-of-participatory-ergonomics-to-identify-and-solve-high-risk-tasks/019-Participatory-ergonomics-to-identify-and-solve.pdf"
"/data/case-studies/dealing-with-the-musculoskeletal-problems-of-guide-dog-trainers-and-mobility-instructors/020 Dealing with MSDs of guide dog trainers and mobility instructors.pdf";"/data/case-studies/dealing-with-the-musculoskeletal-problems-of-guide-dog-trainers-and-mobility-instructors/020-Dealing-with-MSDs-of-guide-dog-trainers-and.pdf"
"/data/case-studies/a-comprehensive-approach-to-reduce-the-risk-of-msds/016 Comprehensive approach to reduce risks of MSDs.pdf";"/data/case-studies/a-comprehensive-approach-to-reduce-the-risk-of-msds/016-Comprehensive-approach-to-reduce-risks-of-MSDs.pdf"
"/data/case-studies/reduction-of-lifting-through-smart-design/012 Reduction of lifting through smart design.pdf";"/data/case-studies/reduction-of-lifting-through-smart-design/012-Reduction-of-lifting-through-smart-design.pdf"
"/data/case-studies/integrated-operator-fatigue-reduction-programme/011 Integrated operator fatigue reduction programme.pdf";"/data/case-studies/integrated-operator-fatigue-reduction-programme/011-Integrated-operator-fatigue-reduction.pdf"
"/data/case-studies/prevention-of-musculoskeletal-disorders-among-nursing-and-care-staff/004 Prevention of MSDs among nursing and care staff.pdf";"/data/case-studies/prevention-of-musculoskeletal-disorders-among-nursing-and-care-staff/004-Prevention-of-MSDs-among-nursing-and-care.pdf"
"/data/case-studies/management-of-equipment-aids-for-the-manual-movement-of-patients/006 Management of equipment for the manual movement of patients.pdf";"/data/case-studies/management-of-equipment-aids-for-the-manual-movement-of-patients/006-Management-of-equipment-for-the-manual.pdf"
"/data/case-studies/assistance-in-the-cleavage-and-grading-of-stone-material/005 Assistance in the cleavage and granding of stone material.pdf";"/data/case-studies/assistance-in-the-cleavage-and-grading-of-stone-material/005-Assistance-in-the-cleavage-and-granding-of.pdf"
"/data/case-studies/modernisation-of-a-ceramics-factory-to-prevent-manual-lifting/009 Modernisation of a ceramics factory to prevent manual lifting.pdf";"/data/case-studies/modernisation-of-a-ceramics-factory-to-prevent-manual-lifting/009-Modernisation-of-a-ceramics-factory-to-prevent.pdf"
"/data/case-studies/replacement-of-wooden-pallets-by-incorporating-a-recessed-component-into-the-product/013 Replacement of wooden pallets.pdf";"/data/case-studies/replacement-of-wooden-pallets-by-incorporating-a-recessed-component-into-the-product/013-Replacement-of-wooden-pallets.pdf"
"/data/case-studies/automation-of-visual-inspection/010 Automation of visual inspection.pdf";"/data/case-studies/automation-of-visual-inspection/010-Automation-of-visual-inspection.pdf"
"/data/case-studies/using-targeted-analysis-to-achieve-an-201cergoplus201d/007 Analysis to achieve an _Ergoplus_ industrial workplace.pdf";"/data/case-studies/using-targeted-analysis-to-achieve-an-201cergoplus201d/007-Analysis-to-achieve-an-_Ergoplus_-industrial.pdf"
"/data/case-studies/lets-have-a-look-at-loads/024 Let's have a look at loads.pdf";"/data/case-studies/lets-have-a-look-at-loads/024-Lets-have-a-look-at-loads.pdf"
"/data/case-studies/19-may-test-1/002 Ergonomic workplace and organisational design in SMEs.pdf";"/data/case-studies/19-may-test-1/002-Ergonomic-workplace-and-organisational-design.pdf"
"/data/case-studies/19-may-test-2/003 Systematic ergonomic workplace design in sewing work.pdf";"/data/case-studies/19-may-test-2/003-Systematic-ergonomic-workplace-design-in.pdf"
"/data/case-studies/participative-development-of-work-methods-satke-taske/015 Participative development of work methods.pdf";"/data/case-studies/participative-development-of-work-methods-satke-taske/015-Participative-development-of-work-methods.pdf"
"/data/case-studies/maintaining-work-ability-in-power-supply/001_Maintaining work ability in power supply.pdf";"/data/case-studies/maintaining-work-ability-in-power-supply/001_Maintaining-work-ability-in-power-supply.pdf"
"/data/case-studies/keeping-our-healthcare-workers-healthy-prevention/4.5.2_FAQs_draft_070427.doc";"/data/case-studies/keeping-our-healthcare-workers-healthy-prevention/4-5-2_FAQs_draft_070427.doc"
"/data/case-studies/test-by-gm/implicaciones juridicas de la presencia en internet.pdf";"/data/case-studies/test-by-gm/implicaciones-juridicas-de-la-presencia-en.pdf"
"/data/case-studies/test-by-gm/future web standards.doc";"/data/case-studies/test-by-gm/future-web-standards.doc"
